YEAR EXPO,GLOBAL CODE,PO,GROWER,FIELD,SAMPLE,1ST COUNT,%G FINAL COUNT,PURITY,WEIGHT
2023,ONL3017,318649,ACOSTA,VARAS,BLEND,81,87,100,100 GR
2023,ONL3733,318650,ACOSTA,SAN ROQUE,BLEND,90,90,100,100 GR
2023,ONL3983,318654,ACOSTA,VILLAFAnE,BLEND,90,92,100,100 GR
2023,ONS3722,312436,AGRICOLA FEN,SAN JORGE,BLEND,86,86,99.9,100 GR
2023,ONL3782,318648,BLANCO,LOS NOGALES,BLEND,73,84,99.9,100 GR
2023,ONZA0238,312030,FERNANDEZ,FERNANDEZ,BLEND,84,87,100,100 GR
2023,ONS3644,314991,FERNANDEZ,LA TOSCA,BLEND,96,96,100,100 GR
2023,ONZA0239,327451,FERNANDEZ,FERNANDEZ,BLEND,79,83,100,100 GR
2023,ONS3644,330137,FERNANDEZ,TREJO,BLEND,92,95,100,100 GR
2023,ONS3644,330138,FERNANDEZ,DILORENZO,BLEND,92,93,100,100 GR
2023,ONS3732,318652,FERRER,BARREAL,BLEND,80,85,100,100 GR
2023,ONS3733,326604,FERRER,ANDEOLI,BLEND,81,85,100,100 GR
2023,ONZA0239,312029,FORCONI,FEDERICCI,BLEND,97,97,100,100 GR
2023,ONS3991,312434,FORCONI,FEDERICCI,BLEND,96,97,100,100 GR
2023,ONS3644,327434,FORCONI,VILKA,BLEND,95,96,100,100 GR
2023,ONZA0236,327449,FORCONI,FEDERICCI,BLEND,99,99,100,100 GR
2023,ONZA0250,327455,FORCONI,FEDERICCI,BLEND,89,92,100,100 GR
2023,ONS3975,311892,FRUTOS DEL ACONCAGUA,TECNOTAR,BLEND,94,94,99.8,100 GR
2023,ONS3809,312442,FRUTOS DEL ACONCAGUA,CABRERA,BLEND,99,99,99.8,100 GR
2023,ONS3975,327445,FRUTOS DEL ACONCAGUA,CABRERA,BLEND,99,99,99.9,100 GR
2023,ONS3807,327563,FRUTOS DEL ACONCAGUA,BALDE DE PIEDRA,BLEND,98,99,100,100 GR
2023,ONL 3733,326715,GIAMPORTONE,VILLA SECA,BLEND,94,96,100,100 GR
2023,ONS3973,311894,MORENO,CATENA,BLEND,91,96,100,100 GR
2023,ONS3962,311947,MORENO,SANTIAGO,BLEND,99,99,100,100 GR
2023,ONS3963,311948,MORENO,SANTIAGO,BLEND,97,98,100,100 GR
2023,ONS3722,312437,MORENO,SANTIAGO,BLEND,94,95,100,100 GR
2023,ONL3017,326601,MORENO,VEREDA,BLEND,98,98,99.9,100 GR
2023,ONS3722,329611,MORENO,SANTIAGO,BLEND,95,97,100,100 GR
2023,ONS3964,311895,OnATE,GONZALEZ,BLEND,89,91,100,100 GR
2023,ONZA0102,311896,OnATE,LA NEGRA,BLEND,50,53,100,100 GR
2023,ONS3977,311949,OnATE,LA NEGRA,BLEND,95,96,100,100 GR
2023,ONZA0252,312033,OnATE,LA NEGRA 1,BLEND,64,65,100,100 GR
2023,ONS3644,312439,OnATE,FARRAN,BLEND,84,86,100,100 GR
2023,ONS3815,312444,OnATE,MADCUR,BLEND,95,95,99.6,100 GR
2023,ONS3115,327428,OnATE,SANCHEZ,BLEND,82,87,99.9,100 GR
2023,ONS3815,327441,OnATE,MADCUR,BLEND,93,95,100,100 GR
2023,ONS3977,327447,OnATE,OLIVERA,BLEND,95,95,100,100 GR
2023,ONS3115,312438,SANCHEZ,LA LINDA,BLEND,87,88,100,100 GR
2023,ONS3644,312440,SANCHEZ,QUARTZ,BLEND,95,97,100,100 GR
2023,ONS3815,312443,SANCHEZ,SAN JOSE,BLEND,97,97,100,100 GR
2023,ONS 3115,327429,SANCHEZ,LA LINDA,BLEND,78,80,100,100 GR
2023,ONS3815,327440,SANCHEZ,MELO,BLEND,94,95,100,100 GR
2023,ONS3815,327442,SANCHEZ,CUZNIR,BLEND,93,93,100,100 GR
2023,ONS3815,333930,SANCHEZ,SAN JOSE CUADRO 2,BLEND,90,90,100,100 GR
2023,ONS 3722,330136,TERRA SCIPA,SAN JORGE,BLEND,87,88,99.7,100 GR
2023,ONL3017,326603,TESTA,CHILECITO,BLEND,99,99,100,100 GR
2023,ONL3733,326605,TESTA,DERENOSKY,BLEND,98,98,100,100 GR
2023,ONL3732,326606,TESTA,DERENOSKY,BLEND,92,93,100,100 GR
2023,ONL3733,326770,VIANSA,VIANSA,BLEND,98,98,100,100 GR
2023,ONL3732,326771,VIANSA,VIANSA,BLEND,90,94,100,100 GR
2023,ONS3974,311893,ZABAL,PARAMILLO,BLEND,73,74,99.8,100 GR
2023,ONS3807,312441,ZABAL,COLONIA ITALIA,BLEND,84,86,99.9,100 GR
